,Unnamed: 0.1,id,path,date,url,tld,text,linklist,processed_text,lowercase,ner_ent
3714,3714,3714,/home/michael/Desktop/attrition_analysis/2000/05/01/www.nibe.dk/index.html,2000-05-01,www.nibe.dk/,dk,"McM4nus Hacked By McM4nus Sorry Admin Fuck
U: FHC e Pitta Nibe i tal Nibe er kommunen med
        den gamle købstad, ved den smukke fjord. Da siden er i konstant
        udvikling, kan jeg anbefale at besøge den med mellemrum.
                        
        venlig hilsen webmaster sidst
        opdateret: 01 May 2000 Nibe Kommune. Strandgade
        1. 9240
        Nibe Tlf.:
        96 71 11 11 Fax:
        96 71 11 10 siden er set af: nb. ses bedst med opløsning 800x600 © 1998 Nibe Kommune (IT afdelingen)","['_vti_bin/shtml.dll/Nibeweb.htm/map', '12.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map1', '16.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map2', '10.htm', '10.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map3', '../15.htm', '15.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map4', '9.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map5', '26.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map6', 'http://www.dkvand.dk/vv/nibe/', '_vti_bin/shtml.dll/Nibeweb.htm/map7', '2.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map8', '7.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map9', 'Erhverv/index.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map10', 'Bibliotek/index.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map11', '19.htm', '_vti_bin/shtml.dll/Nibeweb.htm/map12', '25.htm', 'mailto:nibe@nethotel.dk']", hacked  sorry admin fucku fhc e pitta nibe tal nibe er kommunen med den gamle købstad ved den smukke fjord da siden er konstant udvikling kan jeg anbefale besøge den med mellemrum venlig hilsen webmaster sidst opdateret  may  nibe kommune strandgade   nibe tlf     fax     siden er set af nb ses bedst med opløsning  ©  nibe kommune afdelingen,"mcm4nus hacked by mcm4nus sorry admin fuck
u: fhc e pitta nibe i tal nibe er kommunen med
        den gamle købstad, ved den smukke fjord. da siden er i konstant
        udvikling, kan jeg anbefale at besøge den med mellemrum.
                        
        venlig hilsen webmaster sidst
        opdateret: 01 may 2000 nibe kommune. strandgade
        1. 9240
        nibe tlf.:
        96 71 11 11 fax:
        96 71 11 10 siden er set af: nb. ses bedst med opløsning 800x600 © 1998 nibe kommune (it afdelingen)","['gamle købstad', 'ved den smukke fjord', 'kan jeg', 'besøge den med mellemrum', 'venlig hilsen', 'may 2000', '1', '96', '96', '10', 'bedst', '800x600', '1998', 'nibe kommune']"
3885,3885,3885,/home/michael/Desktop/attrition_analysis/2000/05/16/www.compaq.dk/index.html,2000-05-16,www.compaq.dk/,dk,0wn3d By Cyb3r Fuck3rs,[],  ,0wn3d by cyb3r fuck3rs,['0wn3d']
4639,4639,4639,/home/michael/Desktop/attrition_analysis/2000/12/09/www.vindenhund.dk/mirror.html,2000-12-09,www.vindenhund.dk/,dk,"Kni,hanny,Troya,chikebum,ps2,Kidseven,ferizal,supermenaekangkot,eF73,for admin email me about your security at hiking@triple2u.com",[], admin email security ,"kni,hanny,troya,chikebum,ps2,kidseven,ferizal,supermenaekangkot,ef73,for admin email me about your security at hiking@triple2u.com","['kni', 'chikebum,ps2,kidseven', 'ferizal']"
4640,4640,4640,/home/michael/Desktop/attrition_analysis/2000/12/09/www.vindenhund.dk/index.html,2000-12-09,www.vindenhund.dk/,dk,"Multiple Domains! Multiple domains were hit with the same web page defacement.

Domains:
www.vindenhund.dk
www.kasas.or.kr
www.singles.dk",['mirror.html'],hit web page defacementdomainswwwvindenhunddkwwwkasasorkrwwwsinglesdk,"multiple domains! multiple domains were hit with the same web page defacement.

domains:
www.vindenhund.dk
www.kasas.or.kr
www.singles.dk",['www.kasas.or.kr']
4789,4789,4789,/home/michael/Desktop/attrition_analysis/2000/12/10/www.abovo.dk/mirror.html,2000-12-10,www.abovo.dk/,dk,::hiking::tr0ya::hotd,[],,::hiking::tr0ya::hotd,[]
4790,4790,4790,/home/michael/Desktop/attrition_analysis/2000/12/10/www.abovo.dk/movie3.html,2000-12-10,www.abovo.dk/,dk,hiking,[],hiking,hiking,[]
4791,4791,4791,/home/michael/Desktop/attrition_analysis/2000/12/10/www.abovo.dk/index.html,2000-12-10,www.abovo.dk/,dk,"Multiple Domains! Multiple domains were hit with the same web page defacement.

Domains:
www.abovo.dk
www.aakerlund.dk
www.akselkbiler.dk
www.alexanderteknik.dk
www.anyone.dk
www.aqualine.dk
www.bentenaver.dk
www.blackboxdata.dk
www.blumensaath.dk
www.britts.dk
www.brockfamily.dk
www.christysfesttoej.dk
www.davur.dk
www.delph.dk
www.erik-jepsen.dk
www.eurobusinessmarket.dk
www.famegame.dk
www.famenet.dk
www.fc-hedensted.dk
www.fobiskoleaften.dk
www.oestrigsk-vinimport.dk
www.professionelsupport.dk
www.regnskabsassistancen.dk
www.system-byg.dk
www.vesterbymotionsklub.dk",['mirror.html'],hit web page defacementdomainswwwabovodkwwwaakerlunddkwwwakselkbilerdkwwwalexanderteknikdkwwwanyonedkwwwaqualinedkwwwbentenaverdkwwwblackboxdatadkwwwblumensaathdkwwwbrittsdkwwwbrockfamilydkwwwchristysfesttoejdkwwwdavurdkwwwdelphdkwwwerikjepsendkwwweurobusinessmarketdkwwwfamegamedkwwwfamenetdkwwwfchedensteddkwwwfobiskoleaftendkwwwoestrigskvinimportdkwwwprofessionelsupportdkwwwregnskabsassistancendkwwwsystembygdkwwwvesterbymotionsklubdk,"multiple domains! multiple domains were hit with the same web page defacement.

domains:
www.abovo.dk
www.aakerlund.dk
www.akselkbiler.dk
www.alexanderteknik.dk
www.anyone.dk
www.aqualine.dk
www.bentenaver.dk
www.blackboxdata.dk
www.blumensaath.dk
www.britts.dk
www.brockfamily.dk
www.christysfesttoej.dk
www.davur.dk
www.delph.dk
www.erik-jepsen.dk
www.eurobusinessmarket.dk
www.famegame.dk
www.famenet.dk
www.fc-hedensted.dk
www.fobiskoleaften.dk
www.oestrigsk-vinimport.dk
www.professionelsupport.dk
www.regnskabsassistancen.dk
www.system-byg.dk
www.vesterbymotionsklub.dk","['www.christysfesttoej.dk\nwww.davur.dk', 'www.delph.dk', 'www.regnskabsassistancen.dk']"
5127,5127,5127,/home/michael/Desktop/attrition_analysis/2000/01/05/www.eud.dk/index.html,2000-01-05,www.eud.dk/,dk,hacked by da drag0n!,[],hacked da ,hacked by da drag0n!,[]
5961,5961,5961,/home/michael/Desktop/attrition_analysis/2000/09/19/www.hitech.dk/index.html,2000-09-19,www.hitech.dk/,dk,"BienVenue Sur  Le Coté Obscur HAcKed By NetOperat Greets To: Hal2001,Azael, ad , , et tous les hackers desolé pour le hack :) retrouver la page d'aceuil","['http://www.madchat.org', 'http://www.zataz.com', 'inde.htm']",bienvenue sur le coté obscur hacked netoperat greets  ad et tous les hackers desolé pour le hack retrouver la page daceuil,"bienvenue sur  le coté obscur hacked by netoperat greets to: hal2001,azael, ad , , et tous les hackers desolé pour le hack :) retrouver la page d'aceuil","['bienvenue sur\xa0 le coté obscur', 'netoperat', 'retrouver']"
5992,5992,5992,/home/michael/Desktop/attrition_analysis/2000/09/24/www.helsbib.dk/index.html,2000-09-24,www.helsbib.dk/,dk,-nothing was harmed admin- FUCK THE HITLER CREW-this wasnt rds crap-0day shit-hacked by dis 0f poltergeists-,[],nothing harmed admin fuck hitler crewthis wasnt rds  shithacked dis  poltergeists,-nothing was harmed admin- fuck the hitler crew-this wasnt rds crap-0day shit-hacked by dis 0f poltergeists-,"['crap-0day', 'dis 0f poltergeists-']"
6245,6245,6245,/home/michael/Desktop/attrition_analysis/2000/09/12/www.museinteractive.dk/index.html,2000-09-12,www.museinteractive.dk/,dk,,[],,,['nan']
7124,7124,7124,/home/michael/Desktop/attrition_analysis/2000/10/11/www.slangerupkomm.dk/index.html,2000-10-11,www.slangerupkomm.dk/,dk,-sorry admin nothing was harmed-w00w00 the hitler crew can eat a dick sandwich-We R the Jew Crew and j00 ph33r-end racism-owned by dis,[],sorry admin nothing  hitler crew eat dick sandwichwe r jew crew   racismowned dis,-sorry admin nothing was harmed-w00w00 the hitler crew can eat a dick sandwich-we r the jew crew and j00 ph33r-end racism-owned by dis,['j00']
7770,7770,7770,/home/michael/Desktop/attrition_analysis/2000/10/14/www.hilhan.dk/index.html,2000-10-14,www.hilhan.dk/,dk,"/. This site
